Question,Answer
What is AI?,Artificial Intelligence is the simulation of human intelligence.
What is Python?,Python is a popular programming language.
What is Machine Learning?,Machine Learning enables systems to learn from data.
What is Deep Learning?,Deep Learning is a subset of Machine Learning.
What is NLP?,Natural Language Processing helps computers understand human language.
What is Data Science?,Data Science extracts insights from data.
What is a chatbot?,A chatbot is a software application that simulates conversation.
What is cloud computing?,Cloud computing provides computing services over the internet.
What is cybersecurity?,Cybersecurity protects systems and data from threats.
What is database?,A database is an organized collection of data.
